Skill_level,Company_specificity,Year,Poste,Job,Code_job_Apec,Code_naf_INSSE,Experience,Average_salary_ranges,Regions,Offer
connaissance d'outil plm,éditrice,2015,account manager,ingénieur commercial plm,1 c Commercial,Activités des organisations associatives et administration publique,experimenté,45 k€ et plus,Île-de-France,»    offre aux entreprises et aux particuliers les univers virtuels   nécessaires à la conception d'innovations durables. Généré par   la plateforme 3DEXPERIENCE®  3DEXCITE produit des visualisations   haut de gamme en temps réel  permettant des expériences imbattables   du produit Le logiciel  les solutions et les services de 3DEXCITE   produisent des visualisations 3D de haut de gamme en temps réel    permettant la couverture avec un impact élevé dans tous les canaux   multimédia. Profitant de vos données source  3DEXCITE donne libre   cours à la créativité pour produire des atouts émotionnels pour   des expériences digitales interactives de marketing et de vente.   Du conseil jusqu'au cycle de travail de la visualisation finale   des données  3DEXCITE transforme les données techniques en expériences   visuelles incomparables. Poste et missions : Nous recherchons   un Account Manager (H/F) pour nous accompagner sur le développement   des ventes de notre solution 3DEXCITE. Vos missions : Détecter   et gagner de nouveaux deals tout en adoptant une approche de   vente innovante et structurée Définir les plans de comptes vous   permettant d'atteindre vos objectifs Etre identifié comme « trusted   advisor » auprès du client avec une capacité à adresser des interlocuteurs   C-level Identifier et détecter de nouvelles opportunités (notamment   à travers des évènements tels que conférences  forums  publications    articles…) Créatif  vous créez des programmes de ventes  actions   promotionnelles en lien avec les équipes marketing Chef d'orchestre    vous coordonnez les interlocuteurs internes et externes intervenants   sur les comptes  prospects  etc… Préparation des offres commerciales   Négociation de contratsClosing des deals dans le respect du process   Forecast  suivi et reportings hebdomadaires et mensuels Profil   : Bac + 5 Ecole de commerce ou équivalent minimum 4 années d'expérience   en vente de solutions complexes de type _______PLM_______  CRM  Virtualisation   3D sur les secteurs Automobile et Aeronautique Vous avez collaborez   avec des acteurs Marketing Digital La connaissance du marché   virtualisation 3D est un plus Aisance relationnelle  capacité   à travailler en équipe Capacité à mettre en place des plans de   comptes  à comprendre rapidement les besoins clients  et à closer   Esprit entrepreneur  vous savez construire de solides relations   avec les clients Leadership  aisance à la prise de décision et   gestion de conflit sont des compétences nécessaires pour ce poste   Curieux  dynamique  orienté résultat Anglais courant Poste basé   à Velizy-Villacoublay (78) avec des déplacement fréquents à Munich.
connaissance d'outil plm,utilisatrice,2015,account manager industrie france/europe,ingénieur commercial plm,1 c Commercial,Activités informatiques,experimenté,45 k€ et plus,Île-de-France,les   systèmes d'information  recrute pour l'un de ses clients. Il s'agit d'un   éditeur de logiciel très prometteur (+ 80% de croissance)  spécialiste   de solutions logicielles dans le monde industriel (Pharmacie    Agro-Alimentaire  Cosmétiques  ...). Ses technologies innovantes   (mobilité...)  son marché à fort potentiel et son développement en   France et à l'International  l'amène à recruter massivement. + Poste et   missions : Afin d'accompagner sa forte croissance  la société recrute   des Accounts Managers (Ingénieurs Commerciaux  Responsable Comptes Clés   et Corporate)  présentant une bonne connaissance du secteur industriel.   + Profil : 5ans d'expérience minimum dans la vente de soft industriel   (_______PLM_______  MES  ERP industriel  Automation... ) grands Comptes/Mid-Market   (Laboratoires et sous-traitants) bonne connaissance sectorielle de   l'Industrie ... personnalité : ambitieux  entrepreneur  souple    chasseur  orienté résultat  capacité à appréhender de nouveaux sujets    approche solution  anglais courant.XPR - IT - Mr Eric TESTON - 9 Avenue   Carnot - 75017 PARIS France - imen@xpr-it.com
connaissance d'outil plm,utilisatrice,2015,acheteur,acheteur,10 a Achats,Chimie – Caoutchouc – Plastique,experimenté,de 38 k€ à 44 k€,Provence-Alpes-Côte d'Azur et Corse,cipaux marchés   d'équipements et de services innovants destinés à l'industrie   biopharmaceutique. Dans le cadre de son développement  nous recherchons   un Acheteur. Rattaché au Responsable des Achats  vous répondez aux   demandes d'achats du département ETO « Engineer to order » avec pour   objectif de fournir une réponse adaptée aux demandes de création de   nouveaux composants  nouvelles matières  optimisant ainsi la rentabilité   industrielle et commerciale. Vous fournissez une réponse rapide en vous   appuyant sur les Responsables de catégories d'achats pour les nouveaux   fournisseurs et la veille technologique puis négociez avec les   fournisseurs et préparez l'agrément des nouveaux  tout en étant garant   des procédures Qualité (documents  audits et réglementation...). Vous   gérez les Work flows de création des nouveaux composants dans les   systèmes _______PLM_______ et ERP. Enfin  vous apportez les informations nécessaires à   la mesure de la performance des Fournisseurs (Qualité  Coûts  OTD    Service...). De formation supérieure de type Master Achats   Internationaux (MAI Bordeaux) ou Master Management Stratégique des   Achats (DESMA Grenoble) ou ESC avec spécialisation Achats  vous possédez   3 ans d'expérience professionnelle minimum en achats industriels  si   possible en environnement international. Organisé  rigoureux avec de   bonnes aptitudes à la négociation  vous avez la capacité de mettre en   oeuvre une stratégie Achats existante correspondant à une famille de   composants/matières premières. Orienté résultat et client  vous savez   faire preuve d'analyse et d'autonomie. Aussi  vous savez identifier des   opportunités d'économie et maîtrisez la stratégie du make or buy ainsi   que les relations partenariales avec des fournisseurs (éthique    orientation business  communication) et le management opérationnel des   fournisseurs (incluant la gestion des données _______PLM_______ & ERP). Votre aptitude   à construire un budget  faire du reporting  créer/utiliser des outils   d'analyse (tableaux croisés…) et votre connaissance industrielle   (analyse de valeur  évaluation des coûts…) vous permettront de réussir   sur ce poste. Votre anglais est courant et des connaissances en allemand   seraient un plus.Candidature sous référence Apec/1024852_906120 - HAYS   SUD EST - 4 PLACE BARTHELEMY NIOLLON - 13100 AIX EN PROVENCE France -   jannotv.76810.1689@haysfrance.aplitrak.com
connaissance d'outil plm,utilisatrice,2015,acheteur,acheteur,10 a Achats,Intermédiaires du recrutement,toute experience,de 34 k€ à 37 k€,Provence-Alpes-Côte d'Azur et Corse,:   JOBLINK recrute pour l'un de ses cleints basé sur Aubagne et spécialisé   dans le bio-pharmaceutique un acheteur junior H/F. Sur ce poste  votre   mission principale consistera à faire des demandes d'information afin de   réaliser les cotations auprès des fournisseurs. Ainsi  vous participerez   à l'agrément de nouveaux fournisseurs tout en étant garant des   procédures qualité  gérer les Work flows de création des nouveaux   composants dans les systèmes _______PLM_______ et ERP et apporter les éléments   nécessairesà la mesure de la performance fournisseurs. Poste à pourvoir   à compter de début mai pour un CDD à temps plein de 4 mois.   Rémunération: 2900 Euros à 3000 Euros bruts mensuels selon le profil   (statut cadre). Dates : plus de 4 mois + Profil : Vous êtes issu d'une   formation supérieure dans les achats et la logistique et justifiez d'une   première expérience réussie sur un poste similaire. Vous maîtrisez   parfaitement l'anglais et idéalement l'allemand et êtes capable de   construire un budget et faire du reporting sur des tableaux croisés   dynamiques. Merci d'envoyer votre dossier de candidature (CV+ lettre de   motivation) via le site APEC Contact : Caroline BOUFFIL -- société   JOBLINK -- Pour postuler : http://joblink.contactrh.com/jobs/7/9439664
connaissance d'outil plm,utilisatrice,2015,acheteur de moyens de soutien avions militaires -,acheteur,10 a Achats,Automobile  aéronautique et autres matériels de transport,toute experience,45 k€ et plus,Île-de-France,acteur   majeur de l'industrie aéronautique  conçoivent et fabriquent   des avions militaires et des avions d'affaires  et les soutiennent   dans plus de 70 pays sur les 5 continents. Aujourd'hui  plus   de 2000 avions d'affaires Falcon sont en opération dans le monde.   Poste et missions : La Direction Générale du Système d'Information   de Dassault Aviation assure l'étude  le développement et la mise   en œuvre du Système d'Information de la Société. Elle assure   la coordination et la conduite des projets  le maintien en condition   opérationnelle  la pérennité et l'utilisation en condition de   sécurité. Au sein d’une équipe projet _______PLM_______ de la Direction Générale   du Système d’Informations (DGSI)  en relation avec les utilisatrices   du pôle technique et avec les équipes techniques de développement   et d’intégration  vous serez en charge des missions suivantes :   - Assurer le pilotage de projets de développement et déploiement    de systèmes d’’information support des processus d’ingénierie   système et logiciel : o     Consolider avec les utilisatrices   les besoins processus  o     Être force de proposition de nouvelles   technologies  o     Construire les projets en termes de plannings    budgets et d’organisation  o     Négocier les dossiers de sous-traitance    o     Piloter les travaux jusqu'au déploiement opérationnel.   - Les projets _______PLM_______ ciblés concernent les processus : o     Ingénierie   système pour avions militaires o     Ingénierie logicielle pour   logiciels embarqués et les simulations. - Contribuer à l'amélioration   des processus et à leur intégration dans la démarche _______PLM_______ Global   : o   Maîtriser les concepts mis en œuvre entre les métiers des   utilisatrices du _______PLM_______ o   Promouvoir les innovations et les solutions   de rupture dans un objectif d’optimisation des cycles et coûts   des processus complets  o   Participer à l’établissement et à   la justification des propositions stratégiques du domaine.     Profil : De formation BAC+5  vous justifiez d’au moins  cinq   ans d'expérience en pilotage de projets. Vous possédez des compétences   en systèmes d’information  _______PLM_______  ingénierie système et logicielle   et méthodologie et assurance qualité. Enfin votre capacité d'analyse    votre rigueur  votre curiosité  vos qualités relationnelles et   votre esprit d'équipe font de vous le candidat idéal. Vous recherchez   une entreprise industrielle avec le sens de la responsabilité   sociale  économiquement saine et à dimension humaine  rejoignez-   nous !
connaissance d'outil plm,utilisatrice,2016,acheteur famille électronique,acheteur,10 a Achats,Equipements électriques et électroniques,débutant,45 k€ et plus,Île-de-France,it    développe et commercialise des produits sans fil de haute technologie   à destination du grand public et des grands comptes. L'entreprise   s'appuie sur une expertise technologique commune pour se développer   sur trois principaux secteurs : - L'automobile avec la gamme   la plus étendue du marché de systèmes de communication mains-libres   et d'info-divertissement pour la voiture. - Les drones civils   avec des quadricoptères de loisirs et des solutions destinées   aux marchés professionnels. - Les objets connectés dans les domaines   du son et du jardin notamment. Parrot  dont le siège est à Paris    compte aujourd'hui plus de 850 collaborateurs dans le monde et   réalise la grande majorité de ses ventes à l'international. Parrot   est cotée depuis 2006 sur Euronext Paris (FR0004038263 - PARRO).   Pour plus d'informations: www.parrot.com Poste et missions :   Pour accompagner notre croissance et en particulier notre développement   fort lié aux drones  nous recherchons un Acheteur famille « électronique   » (H/F). Spécifiquement rattaché à l'équipe Achat de Paris dédiée   aux drones (10 personnes)  vous gérez l'une des familles de produits   la plus stratégique chez Parrot. Vous êtes responsable de la   définition et de l'animation de la stratégie achat pour la famille   électronique (processeurs  Asics  FPGA  traitement d'image).   Pour cela : - Impliqué très en amont du projet  vous participez   aux décisions majeures dans la conception des drones  - En lien   avec les équipes de R&D  vous recueillez le cahier de charges   pour les produits ciblés  - Vous assurez le sourcing et le suivi   général des achats de licences et de prestations auprès des fabricants   de semi-conducteurs majeurs basés aux US et à Taïwan  - Vous   êtes responsable des coûts  dépenses  négociations de contrats   et prestations globales de ces fournisseurs  - Vous assurez   une veille permanente des nouvelles technologies disponibles- Vous travaillez en interface avec les acheteurs «projet »   et les équipes de production en Chine dans le cadre de votre   suivi. De formation Bac + 5 Ingénieur ou Ecole de Commerce/ université   de niveau Bac+  vous avez au moins 5 ans d'expérience dans les   achats de produits électroniques  et idéalement dans les semi-conducteurs.   Votre connaissance de l'électronique embarquée est un atout pour   ce poste. La connaissance de l'ERP SAP _______PLM_______ est un plus. D'un   tempérament affirmé  vous savez menez des négociations sur des   achats complexes  avec des contraintes de coûts forts  avec des   fournisseurs à l'international. Anglais courant impératif.
connaissance d'outil plm,utilisatrice,2016,adjoint au responsable bureau d’etudes (réf. iak),ingénieur be,4 a Conception  recherche,Intermédiaires du recrutement,experimenté,45 k€ et plus,Auvergne-Rhône-Alpes,oi : intérim    CDD  CDI. Chaque année  350 000 collaborateurs travaillent dans   nos 50 000 entreprises clientes. Rejoignez-nous !Votre agence   Randstad  spécialisée dans les métiers de l'industrie  est en   recherche permanente de nouvelles compétences et vous offre de   nombreuses opportunités d'emploi.Nous recherchons en CDI pour   le compte de notre client  entreprise industrielle  poste basé   sur 38630 Corbelin :Une/un ADJOINT au RESPONSABLE BUREAU D’ETUDES   F/H (réf. IAK)Vos principales missions : Directement rattaché(e)   au Responsable du Bureau d'Etudes  vous devrez superviser et   coordonner les activités du bureau d’études en fonction des objectifs   de l’entreprise. Pour cela  vous serez amené(e) à :Piloter   et manager une équipe composée de Dessinateurs-projeteurs  un   infographiste  une assistante  des prestataires Garantir la bonne   planification et le respect des processus avec l’équipe (assurer   l’arbitrage par rapport aux différents projets en cours). Maintenir   et renforcer les compétences clé  en lien avec les axes stratégiques   de l’entreprise Assurer le soutien technique relatif au service   commercial (notamment sur le terrain ou concernant les avant-projets   lors des appels d’offres) Diriger ou participer activement aux   revues de conception Etablir  coordonner  vérifier et soumettre   les dossiers aux autorités nationales de contrôle en vue d’obtenir   la qualification technique des produits (norme CE) Assurer le   lien avec les autorités nationales de contrôle. Savoir argumenter   pour convaincre les organismes de certification. Connaitre et   faire respecter (en interne) les engagements issus des normes   en vigueur (qualité  sécurité  etc…) Vous devrez aussi : Veiller   au choix des prestataires et sous-traitants et assurer le suivi   contractuel. Assurer la veille technologique Participer aux salons   (Autriche  France…) Assurer les déplacements chez les clients   et/ou fournisseurs en France et à l’Etranger.Profil recherché   : Être titulaire  d'un Bac+5 (formation ingénieur mécanique)   Avoir au moins 10 années d'expérience sur un poste équivalent   (adjoint responsable BE ou responsable BE dans les matériaux   métalliques (aluminium  acier... de préférence) Maîtrise de l’anglais   à l’oral et à l’écrit La maîtrise de l’espagnol est un plus Connaissance   d’un logiciel de CAO 3D (idéalement Solidworks) A l'aise avec   l'outil informatique (PACK OFFICE  SAP (ou autre ERP) et _______PLM_______)   Salaire proposé : 50 000 € brut annuel (selon profil et expérience)   Merci de bien vouloir nous adresser votre CV par e-mail à l’adresse   suivante  sous la référence ADJOINT RESPONSABLE BE (réf. IAK)   : via le site Apec.
expert plm,utilisatrice,2015,adjoint pilote des donnees techniques,chargé données techniques,10 e Process  méthodes,Equipements électriques et électroniques,experimenté,moins de 33 k€,Île-de-France,Unit Seat   Actuation  est le leader mondial de la conception et fabrication d   actionneurs électriques pour le marché de la cabine avion. La société   développe une gamme complète de systèmes d actionnement pour sièges   passagers en classes Affaires et Première des avions commerciaux. Zodiac   Actuation Systems fait partie du groupe Zodiac Aerospace  acteur majeur   du secteur aéronautique  avec plus de 98 sites dans le monde. Poste : Au   sein de la Direction Technique  nous recherchons un Pilote et   Gestionnaire des données techniques. Missions : Interface entre le   bureau d études et la supply chain  vos principales missions seront la   gestion des données techniques et de ses Ordres de Modifications   techniques (OM) au fur et à mesure du développement d un projet  à   savoir: La gestion de la nomenclature La gestion de la documentation La   gestion des données techniques à travers notre _______PLM_______ AGILE et notre ERP   MFGPRO Le suivi et les relances des OM auprès des différents ingénieurs   et techniciens de la direction technique afin d assurer leur avancement   La maitrise de l application des évolutions techniques et le pilotage de   la commission des évolutions techniques. Profil : Issu d une formation   technique Bac +2 / 3 en Mécanique  vous avez au moins 5 ans d expérience   en assistance technique d ingénieur. Maîtrise de l anglais. Maitrise d   un _______PLM_______ (Agile  Smarteam  _______PLM_______ works). Maitrise d un ERP  MFGPRO   idéalement. Dynamique  vous avez l habitude de manipuler des données   techniques. Vous avez des capacités de Pilotage de projet et avoir de   bonne capacité de relationnelle.ZODIAC ACTUATION SYSTEMES - Mme Delphine   Forlani - Batiment 227 45 AVENUE VICTOR HUGO - 93300 AUBERVILLIERS   France - delphine.forlani@zodiacaerospace.com
expert plm,intégratrice,2015,administrateur,administrateur plm,6 b Exploitation  maintenance informatique,Conseil et gestion des entreprises,experimenté,de 34 k€ à 37 k€,Auvergne-Rhône-Alpes,de l'intégration et l'optimisation des processus et outils _______PLM_______   (Product Lifecycle Management) en Amérique du Nord et en Europe.   Spécialisé dans les services de conseil  d'architecture  de développement   logiciel et d'intégration d'applications _______PLM_______  le groupe est présent   dans les industries : aéronautique  automobile  transports  énergie   et sport mécanique. Processia Solutions se distingue d'une part   pour son expertise au profit des écuries de Formule1 Lotus Renault   GP  Vodafone McLaren Mercedes et de son partenariat avec Dassault   Systèmes Global V6  et d'autre part pour son dévouement à créer   un environnement évolutif et créatif pour ses collaborateurs   Description de la mission : Afin d'accompagner sa croissance   à travers la mise en œuvre de ses projets IT autour d'Enovia   V6  une solution _______PLM_______ de Dassault-Systèmes  Processia Solutions   recrute un Administrateur (h/f). Intégré (e) à une équipe d'administrateurs   et sous la responsabilité d'un Architecte Technique  vous participez:   Enovia V6 Migration and transformation project (2009x to 2015x)     A l'administration des fonctionnalités de base d'un réseau   Au monitoring de la solution Enovia V6 et du système d'exploitation   Au maintien de sécurité de la solution et des systèmes d'exploitation   A la réalisation des audits de performance A l'analyse et rédaction   des spécifications techniques A la rédaction des tests techniques   Expérience en admsinistration de systèmes si possible Expérience   en intégration  installation de code  déploiement de package   si possible   Administration Enovia V6 si possible  mais pas   indispensable   Profil :     Issu(e) d'une formation d'ingénieur   ou universitaire Au moins deux années d'expérience en tant qu'Administrateur   _______PLM_______ si possible Enovia V6 Junior accepté  avec profil débrouillard   en informatique. Quelques notions de développement  mais surtout   capacité à faire des installations  esprit pour analyser des   incidents et debugger. Experience en scripting  Windows  Unix   AIX  Linux Utilisation des outils de configuration de code (SVN    CVS  Clearcase …) si possible Un profil technicien en informatique   serait idéal  quelqu'un de rigueureux. Besoin d’esprit d’équipe   car nécessité de s’intégrer à l’équipe client. Nous le formerons   aux technos et outils de notre client. Autonome et Rigoureux(se)    vous appréciez aussi bien le travail en équipe que le contact   client Langue : Anglais professionnel Des déplacements occasionnels   sont à prévoir en France ou à l'étranger.       Cette offre est   ouverte  à compétences égales  aux personnes en situation de   handicap Processia s'engage à faire évoluer votre c
expert plm,intégratrice,2015,administrateur - architecte technique plm,administrateur plm,6 d Informatique industrielle,Activités informatiques,experimenté,de 38 k€ à 44 k€,Île-de-France,PCO Innovation   vous propose de rejoindre ses équipes en tant qu'Architecte Technique   _______PLM_______ confirmé sur son agence parisienne. Ce poste requiert une   grande autonomie et adaptabilité afin de prendre en charge pleinement   les responsabilités suivantes : - Analyse des besoins  des évolutions   souhaitées et des incidents  - Installation des modules _______PLM_______ et   des personnalisations réalisées par l'intégratrice  - Recette   des versions livrées par l'intégratrice  - Déploiement des versions    - Administration des bases de données  jeux de données  - Support   aux utilisatrices. Votre profil : - Très bonne expertise dans   la mise en place des environnements _______PLM_______(Développement/Intégration/Production)    - Très bonne expertise en administration Windows et réseaux    - Connaissance du langage SQL  - Bonne vision d'ensemble sur   les différentes problématiques industrielles. - Bon niveau d'anglais   demandé Ce poste est à pourvoir en CDI et sera rattaché à notre   agence de Paris. Une mobilité sur l'ensemble de la région parisienne   est indispensable. Des déplacements en province seront à prévoir.   Accenture  référence mondiale du conseil et des technologies    accompagne les plus grandes entreprises et administrations dans   toutes les phases de leur transformation  de la stratégie à la   mise en Suvre. Notre entreprise regroupe plus de 300 000 collaborateurs   intervenant dans 120 pays sur de nombreux secteurs : assurance/banque    secteur public  télécommunications  aéronautique  énergie  distribution    santé  grande consommation  médias  tourisme  industrie automobile...   Société du groupe Accenture  PCO Innovation poursuit sa croissance   avec une offre de service complète autour de l'intégration de   solutions _______PLM_______. Notre indépendance vis-à-vis des éditeurs nous   permet d'intervenir sur un périmètre complet allant des phases   d'études d'opportunités à la maintenance des applications. Ainsi    PCO Innovation vous propose des perspectives de carrières diversifiées   en favorisant une politique active de formation  d'enrichissement   des compétences et de mobilité.
